Letra       Cantidad    Puntuación
a             18              4
      b              6             16
      c              8             14
      d              8             14
      e             21              1
      f              5             17
      g              6             16
      h              6             16
      i             12             10
      j              5             17
      k              5             17
      l              9             13
      m             10             12
      n             13              9
      o             10             12
      p              7             15
      q              5             17
      r             13              9
      s             11             11
      t             12             10
      w              5             17
      y              5             17
      z              5             17
